Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance,payment_type,category
01/01/2022,01/01/2022,NEFT/CR/952735718030/SALARY,TRANSFER FROM 952735718030,,125213.0,431114.0,neft,salary
01/01/2022,01/01/2022,POS/DR/711995879155/MYNTRA,TRANSFER TO 711995879155,1665.43,,429448.57,pos,shopping
01/01/2022,01/01/2022,IMPS/DR/821490367535/BIGBAZAAR,TRANSFER TO 821490367535,1563.68,,427884.89,imps,others
01/01/2022,01/01/2022,NEFT/DR/183967131867/FLIPKART,TRANSFER TO 183967131867,3419.58,,424465.31,neft,shopping
01/01/2022,01/01/2022,UPI/DR/858057510226/FLIPKART,TRANSFER TO 858057510226,6077.98,,418387.33,upi,shopping
01/01/2022,01/01/2022,POS/DR/530965162542/ZOMATO,TRANSFER TO 530965162542,75000.0,,343387.33,pos,food
01/01/2022,01/01/2022,UPI/DR/135336232392/APOLLO,TRANSFER TO 135336232392,75000.0,,268387.33,upi,others
01/01/2022,01/01/2022,UPI/DR/861405056768/STARBUCKS,TRANSFER TO 861405056768,75000.0,,193387.33,upi,others
01/01/2022,01/01/2022,NEFT/DR/152394293340/ZOMATO,TRANSFER TO 152394293340,2139.11,,191248.22,neft,food
01/01/2022,01/01/2022,UPI/DR/679695955720/STARBUCKS,TRANSFER TO 679695955720,1982.57,,189265.65,upi,others
01/01/2022,01/01/2022,POS/DR/833410590049/APOLLO,TRANSFER TO 833410590049,702.2,,188563.45,pos,others
01/01/2022,01/01/2022,NEFT/CR/397804420460/SALARY,TRANSFER FROM 397804420460,,124613.0,313176.45,neft,salary
01/01/2022,01/01/2022,UPI/DR/617092901824/MYNTRA,TRANSFER TO 617092901824,4521.28,,308655.17,upi,shopping
01/01/2022,01/01/2022,IMPS/DR/862497926204/APOLLO,TRANSFER TO 862497926204,3355.77,,305299.4,imps,others
01/01/2022,01/01/2022,UPI/DR/129415955704/FLIPKART,TRANSFER TO 129415955704,2090.66,,303208.74,upi,shopping
01/01/2022,01/01/2022,NEFT/CR/912319886785/SALARY,TRANSFER FROM 912319886785,,86246.0,389454.74,neft,salary
01/01/2022,01/01/2022,UPI/DR/550113458227/FLIPKART,TRANSFER TO 550113458227,205.55,,389249.19,upi,shopping
01/01/2022,01/01/2022,POS/DR/114056831748/IRCTC,TRANSFER TO 114056831748,8848.81,,380400.38,pos,others
01/01/2022,01/01/2022,POS/DR/875960360477/AMAZON,TRANSFER TO 875960360477,18975.56,,361424.82,pos,shopping
01/01/2022,01/01/2022,NEFT/CR/767081873777/SALARY,TRANSFER FROM 767081873777,,99467.0,460891.82,neft,salary
02/01/2022,02/01/2022,UPI/DR/848250524635/FLIPKART,TRANSFER TO 848250524635,10400.69,,450491.13,upi,shopping
02/01/2022,02/01/2022,IMPS/DR/299750768531/ZOMATO,TRANSFER TO 299750768531,8299.34,,442191.79,imps,food
02/01/2022,02/01/2022,NEFT/CR/224595413122/SALARY,TRANSFER FROM 224595413122,,74456.0,516647.79,neft,salary
02/01/2022,02/01/2022,NEFT/CR/449447775686/SALARY,TRANSFER FROM 449447775686,,95449.0,612096.79,neft,salary
02/01/2022,02/01/2022,NEFT/DR/390689843129/STARBUCKS,TRANSFER TO 390689843129,4648.36,,607448.43,neft,others
02/01/2022,02/01/2022,NEFT/DR/785754881623/MYNTRA,TRANSFER TO 785754881623,2489.31,,604959.12,neft,shopping
02/01/2022,02/01/2022,NEFT/DR/474570778324/ZOMATO,TRANSFER TO 474570778324,3145.46,,601813.66,neft,food
02/01/2022,02/01/2022,POS/DR/530625935633/BIGBAZAAR,TRANSFER TO 530625935633,6145.02,,595668.64,pos,others
02/01/2022,02/01/2022,UPI/DR/221852905722/MYNTRA,TRANSFER TO 221852905722,2113.64,,593555.0,upi,shopping
02/01/2022,02/01/2022,POS/DR/594342871624/ZOMATO,TRANSFER TO 594342871624,5482.24,,588072.76,pos,food
02/01/2022,02/01/2022,UPI/DR/840470479887/AMAZON,TRANSFER TO 840470479887,15693.65,,572379.11,upi,shopping
02/01/2022,02/01/2022,POS/DR/368625606193/FLIPKART,TRANSFER TO 368625606193,2934.78,,569444.33,pos,shopping
02/01/2022,02/01/2022,UPI/DR/249717047223/JIO,TRANSFER TO 249717047223,8486.15,,560958.18,upi,others
02/01/2022,02/01/2022,POS/DR/752726867478/MYNTRA,TRANSFER TO 752726867478,7148.24,,553809.94,pos,shopping
02/01/2022,02/01/2022,NEFT/CR/437873924919/SALARY,TRANSFER FROM 437873924919,,142463.0,696272.94,neft,salary
02/01/2022,02/01/2022,NEFT/CR/612046011402/SALARY,TRANSFER FROM 612046011402,,54217.0,750489.94,neft,salary
02/01/2022,02/01/2022,UPI/DR/993247537421/APOLLO,TRANSFER TO 993247537421,7057.93,,743432.01,upi,others
02/01/2022,02/01/2022,IMPS/DR/656405677108/AMAZON,TRANSFER TO 656405677108,7936.76,,735495.25,imps,shopping
02/01/2022,02/01/2022,IMPS/DR/791820864970/DMART,TRANSFER TO 791820864970,1241.2,,734254.05,imps,others
02/01/2022,02/01/2022,UPI/DR/515393395558/ZOMATO,TRANSFER TO 515393395558,665.97,,733588.08,upi,food
02/01/2022,02/01/2022,NEFT/DR/114442119829/FLIPKART,TRANSFER TO 114442119829,20956.4,,712631.68,neft,shopping
02/01/2022,02/01/2022,IMPS/DR/275911361872/FLIPKART,TRANSFER TO 275911361872,12258.87,,700372.81,imps,shopping
03/01/2022,03/01/2022,UPI/DR/126686451821/BIGBAZAAR,TRANSFER TO 126686451821,9174.1,,691198.71,upi,others
03/01/2022,03/01/2022,IMPS/DR/254386721962/APOLLO,TRANSFER TO 254386721962,18494.92,,672703.79,imps,others
